grade,domain,skill_group,lesson_title,activity_variant,Student A,Student B,title_aggregate_Student A,title_aggregate_Student B
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Title & Author,Main,,83%,,83%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Title & Author,Practice 1,,67%,,83%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Title & Author,Practice 2,,83%,,83%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Title & Author,Basic,,100%,,83%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Book Pages,Main,,88%,,88%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Book Pages,Practice 1,,88%,,88%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Book Pages,Practice 2,,67%,,88%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Book Pages,Basic,,,,88%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Words,Words on Signs 1,Main,,100%,,100%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Words,Words on Signs 1,Practice 1,,,,100%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Words,Words on Signs 1,Practice 2,,,,100%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Words,Words on Signs 2,Main,,100%,,100%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Words,Words on Signs 2,Practice 1,,,,100%
Preschool (Age 2): ELA,Reading Foundational Skills,Print Concepts: Words,Words on Signs 2,Practice 2,,,,100%
Preschool (Age 2): ELA,Reading Foundational Skills,Phonological Awareness: Rhyming,Rhyming,Main,,93%,,93%
Preschool (Age 2): ELA,Reading Foundational Skills,Phonological Awareness: Rhyming,Rhyming,Practice 1,,100%,,93%
Preschool (Age 2): ELA,Reading Foundational Skills,Phonological Awareness: Rhyming,Rhyming,Practice 2,,,,93%
Preschool (Age 2): ELA,Reading Foundational Skills,Phonological Awareness: Rhyming,Rhyming,Basic,,,,93%
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter A,Direct,Viewed,Viewed,Viewed,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter B,Direct,Viewed,Viewed,Viewed,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter C,Direct,Viewed,Viewed,Viewed,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter D,Direct,Viewed,Viewed,Viewed,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter E,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter F,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter G,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter H,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter I,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter J,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter K,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter L,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter M,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter N,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter O,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter P,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter Q,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter R,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter S,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter T,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter U,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter V,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter W,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter X,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter Y,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Reading Foundational Skills,Phonics: Letters & Sounds,Letter Z,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Writing,"Writing Lines, Shapes",Draw Lines,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Writing,"Writing Lines, Shapes",Horizontal Lines,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Writing,"Writing Lines, Shapes",Draw a Circle 1,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Writing,"Writing Lines, Shapes",More Lines,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Writing,"Writing Lines, Shapes",Draw a Circle 2,Direct,,Viewed,,Viewed
Preschool (Age 2): ELA,Language,Vocabulary & Objects,Animals,Main,,86%,,86%
Preschool (Age 2): ELA,Language,Vocabulary & Objects,Animals,Practice 1,,83%,,86%
Preschool (Age 2): ELA,Language,Vocabulary & Objects,Animals,Practice 2,,80%,,86%
Preschool (Age 2): ELA,Language,Vocabulary & Objects,Vehicles,Main,,58%,,58%
Preschool (Age 2): ELA,Language,Vocabulary & Objects,Vehicles,Practice 1,,100%,,58%
Preschool (Age 2): ELA,Language,Vocabulary & Objects,Vehicles,Practice 2,,,,58%
Preschool (Age 2): ELA,Language,Vocabulary & Objects,Food,Main,,88%,,88%
Preschool (Age 2): ELA,Language,Vocabulary & Objects,Food,Practice 1,,67%,,88%
Preschool (Age 2): ELA,Language,Vocabulary & Objects,Around the House,Direct,,100%,,100%
Preschool (Age 2): ELA,Language,Vocabulary & Objects,Animals & Colors,Main,,100%,,100%
